TITLE,PERMITS,LATITUDE,LONGITUDE
Lot 442,EMP Parking||Motorcycle Parking||Reserved Parking||Visitor Parking||Service Vehicle Parking||Electric Veh Parking,39.16354,-86.522394
Lot 255,EMP Parking||Electric Veh Parking||Visitor Pay Parking||Accessible Parking||Service Vehicle Parking,39.17300802,-86.51977418
Lot 238,EMP Parking||Electric Veh Parking||Visitor Pay Parking||Accessible Parking||Service Vehicle Parking,39.173833,-86.521811
Headley School Parking,IU Foundation Parking,39.18590997,-86.51465575
Lot 424,EMP Parking||Electric Veh Parking||Visitor Pay Parking||Accessible Parking||Service Vehicle Parking,39.163537,-86.526325
Lot 100,Student Parking,39.18106219,-86.52754248
Lot 102,Athletic Parking,39.18489312,-86.52478087
Lot 102,Athletic Parking,39.18417174,-86.5272899
Lot 103,Student Parking||Accessible Parking,39.18283817,-86.52458169
Lot 104,Athletics Parking||Accessible Parking||Reserved Parking,39.18080536,-86.52374889
Lot 104,Athletics Parking,39.1802879,-86.52442486
Lot 104,Athletics Parking,39.18153792,-86.52444287
Lot 104,Athletics Parking||Accessible Parking||Reserved Parking,39.18209036,-86.52499979
Lot 104,Athletics Parking||Accessible Parking||Reserved Parking,39.18213132,-86.52621142
Lot 108,EMS Parking,39.1787845,-86.52549279
Lot 110,EMS Parking||Athletics Parking||Accessible Parking,39.17947672,-86.52020975
Lot 110,EMS Parking||Student Parking Section E ONLY||Accessible Parking,39.17951051,-86.522228
Lot 111,Accessible Parking,39.17969243,-86.51877087
Lot 112,Athletics Parking||Accessible Parking,39.18133415,-86.52053335
Lot 114,Athletics Parking||Accessible Parking,39.18222084,-86.52121027
Lot 115,Student Parking,39.18684303,-86.51960788
Lot 116,EMS Parking||Accessible Parking||Student Parking||Service Vehicle Parking,39.19062312,-86.522872
Lot 117,Athletic Parking,39.18433022,-86.51977642
Lot 117,Athletic Parking,39.18541716,-86.52021566
Lot 117,Accessible Parking,39.18405698,-86.52172706
Lot 117,Athletic Parking,39.18480254,-86.52345069
Lot 120,Athletics Parking,39.18155316,-86.51668531
Lot 121,Athletic Parking,39.18633226,-86.51333709
Lot 122,IU Foundation Parking,39.18445655,-86.51167684
Lot 122,IU Foundation Parking,39.18411104,-86.5124486
Lot 123,EMS Parking (24 Hr)||Accessible Parking||Reserved Parking,39.179551,-86.513989
Lot 125,This is all of David Baker Ave Street Parking||Student Parking,39.18281264,-86.51314328
Lot 126,EMS Parking||Service Vehicle Parking,39.17770727,-86.50998314
Lot 127,EMP Parking||EMS Parking||Student Parking||Accessible Parking||Accessible Metered Parking,39.17726915,-86.51265233
Lot 127,EMP Parking||EMS Parking||Student Parking||Accessible Parking||Accessible Metered Parking,39.1751783,-86.5142733
Lot 127,EMP Parking||EMS Parking||Student Parking||Accessible Parking||Accessible Metered Parking,39.17397338,-86.51524884
